,Value
1629,Samsung Galaxy Victory 4G LTE
1630,Samsung Galaxy W
1631,Samsung Galaxy Xcover
1632,Samsung Galaxy Xcover 2
1633,Samsung Galaxy Xcover 3
1634,Samsung Galaxy Xcover 4
1635,Samsung Galaxy Y
1636,Samsung Galaxy Y Duos
1637,Samsung Galaxy Young
1638,Samsung Galaxy Y Pro
1639,Samsung Genio
1640,Samsung Google Nexus S
1641,Samsung I8000 Omnia II
1642,Samsung i927 Captivate Glide
1643,Samsung Illusion
1644,Samsung Infuse
1645,Samsung Instinct
1646,Samsung Intensity II
1647,Samsung Intensity III
1648,Samsung J700
1649,Samsung Mesmerize
1650,Samsung Monte
1651,Samsung Monte Slide
1652,Samsung Nexus S
1653,Samsung Omnia W
1654,Samsung Pusha
1655,Samsung R720 Admire
1656,Samsung Rugby
1657,Samsung Rugby 4
1658,Samsung Rugby III
1659,Samsung Rugby Smart
1660,Samsung S3370
1661,Samsung S3650 Corby
1662,Samsung S5230
1663,Samsung S5230 Design
1664,Samsung S5610
1665,Samsung S8000
1666,Samsung S8300
1667,Samsung SGH-D500
1668,Samsung SGH-i900
1669,Samsung SGH-J700
1670,Samsung SGH-J780
1671,Samsung SGH-N620
1672,Samsung SGH-T100
1673,Samsung SGH-T105G
1674,Samsung Solid Extreme
1675,Samsung Solid Immerse
1676,Samsung Solid Xcover
1677,Samsung Stratosphere
1678,Samsung Stratosphere II
1679,Samsung Tocco
1680,Samsung Tocco Lite
1681,Samsung U820 Reality
1682,Samsung Wave
1683,Samsung Wave 3
1684,Samsung Wave S8500
1685,Sanyo MM-8300
1686,Sanyo SCP-3200
1687,Seals VR7
1688,Sharp Aquos Crystal
1689,Sharp Aquos SH-12C
1690,Siemens SL65
1691,Sirin Labs FINNEY U1
1692,Sky Devices Platinum 5.0Plus
1693,Sonim XP6
1694,Sonim XP8
1695,Sony Ericsson Aino
1696,Sony Ericsson C902
1697,Sony Ericsson C903
1698,Sony Ericsson C905
1699,Sony Ericsson Elm
1700,Sony Ericsson F305
1701,Sony Ericsson K610
1702,Sony Ericsson K800i
1703,Sony Ericsson K850i
1704,Sony Ericsson Live with Walkman
1705,Sony Ericsson Mix Walkman
1706,Sony Ericsson Naite
1707,Sony Ericsson Satio
1708,Sony Ericsson Spiro
1709,Sony Ericsson T303
1710,Sony Ericsson T700
1711,Sony Ericsson TXT
1712,Sony Ericsson Vivaz
1713,Sony Ericsson Vivaz Pro
1714,Sony Ericsson W595
1715,Sony Ericsson W710i
1716,Sony Ericsson W810
1717,Sony Ericsson W810i
1718,Sony Ericsson W850
1719,Sony Ericsson W890i
1720,Sony Ericsson W910i
1721,Sony Ericsson W995
1722,Sony Ericsson Xperia Active
1723,Sony Ericsson Xperia Arc
1724,Sony Ericsson Xperia Arc S
1725,Sony Ericsson Xperia Mini
1726,Sony Ericsson Xperia Mini Pro
1727,Sony Ericsson Xperia Neo
1728,Sony Ericsson Xperia Neo V
1729,Sony Ericsson Xperia Play
1730,Sony Ericsson Xperia Pro
1731,Sony Ericsson Xperia ray
1732,Sony Ericsson Xperia X1
1733,Sony Ericsson Xperia X10
1734,Sony Ericsson Xperia X10 mini
1735,Sony Ericsson Xperia X8
1736,Sony Xperia Active
1737,Sony Xperia Arc S
1738,Sony Xperia C3
1739,Sony Xperia C4
1740,Sony Xperia C5 Ultra
1741,Sony Xperia E
1742,Sony Xperia E1
1743,Sony Xperia E3
1744,Sony Xperia E5
1745,Sony Xperia Go
1746,Sony Xperia ion
1747,Sony Xperia J
1748,Sony Xperia L
1749,Sony Xperia M
1750,Sony Xperia M2
1751,Sony Xperia M2 Dual
1752,Sony Xperia M4 Aqua
1753,Sony Xperia M5
1754,Sony Xperia mini
1755,Sony Xperia miro
1756,Sony Xperia P
1757,Sony Xperia Play
1758,Sony Xperia ray
1759,Sony Xperia S
1760,Sony Xperia SL
1761,Sony Xperia sola
1762,Sony Xperia SP
1763,Sony Xperia T
1764,Sony Xperia T2 Ultra
1765,Sony Xperia tipo
1766,Sony Xperia U
1767,Sony Xperia V
1768,Sony Xperia X
1769,Sony Xperia X10
1770,Sony Xperia XA
1771,Sony Xperia XA1
1772,Sony Xperia XA1 Ultra
1773,Sony Xperia XA2
1774,Sony Xperia XA2 Ultra
1775,Sony Xperia XA Ultra
1776,Sony Xperia X Compact
1777,Sony Xperia X Performance
1778,Sony Xperia XZ
1779,Sony Xperia XZ1 Compact
1780,Sony Xperia XZ2
1781,Sony Xperia XZ2 Compact
1782,Sony Xperia XZ3
1783,Sony Xperia XZ Premium
1784,Sony Xperia Z
1785,Sony Xperia Z1
1786,Sony Xperia Z1 Compact
1787,Sony Xperia Z1s
1788,Sony Xperia Z2
1789,Sony Xperia Z3
1790,Sony Xperia Z3+
1791,Sony Xperia Z3 Compact
1792,Sony Xperia Z4
1793,Sony Xperia Z5
1794,Sony Xperia Z5 Compact
1795,Sony Xperia Z5 Premium
1796,Sony Xperia ZL
1797,Sony Xperia Z Ultra
1798,Telstra Dave
1799,THL T6 Pro
1800,THL W200
1801,THL W200S
1802,Thuraya XT Lite
1803,T-Mobile MDA Compact
1804,T-Mobile MDA Vario
1805,T-Mobile Sidekick
1806,T-Mobile Sidekick 3
1807,Ulefone Future
1808,Ulefone Paris
1809,Ulefone Power
1810,UMIDIGI One Pro
1811,UMi Iron
1812,UMi Iron Pro
1813,UMi Rome
1814,UMi Super
1815,UMi Touch
1816,UMi Zero
1817,Vernee Thor
1818,Vernee X
1819,Vertu Ascent
1820,Vivo V11
1821,VKWORLD S8
1822,Vodafone 340
1823,Vodafone 354
1824,Vodafone 555
1825,Vodafone Smart
1826,Vodafone Smart first 6
1827,Vodafone Smart prime 6
1828,Vodafone Smart ultra 6
1829,Vortex Matrix
1830,Wiko Darkmoon
1831,Wiko Fever
1832,Wiko GETAWAY
1833,Wiko HIGHWAY
1834,Wiko LENNY
1835,Wiko Rainbow
1836,Wiko Ridge 4G
1837,Wiko ROBBY
1838,Wiko SLIDE
1839,Wiko Sunny
1840,Wiko SUNSET
1841,Wileyfox Storm
1842,Wileyfox Swift
1843,Xiaomi Black Shark 2
1844,Xiaomi Mi 2S
1845,Xiaomi Mi 3
1846,Xiaomi Mi 4
1847,Xiaomi Mi 4C
1848,Xiaomi Mi 5
1849,Xiaomi Mi 5s
1850,Xiaomi Mi 6
1851,Xiaomi Mi 8
1852,Xiaomi Mi 8 Explorer Edition
1853,Xiaomi Mi 8 Lite
1854,XIaomi Mi 8 Pro
1855,Xiaomi Mi 9 SE
1856,Xiaomi Mi A1
1857,Xiaomi Mi A2
1858,Xiaomi Mi A2 Lite
1859,Xiaomi Mi Max
1860,Xiaomi Mi Max 2
1861,Xiaomi Mi Max 3
1862,Xiaomi Mi MIX
1863,Xiaomi Mi MIX 18K
1864,Xiaomi Mi MIX2
1865,Xiaomi Mi MIX 2S
1866,Xiaomi Mi MIX 3
1867,Xiaomi Mi Note
1868,Xiaomi Pocophone F1
1869,Xiaomi Redmi 1S
1870,Xiaomi Redmi 2
1871,Xiaomi Redmi 3 Pro
1872,Xiaomi Redmi 3S
1873,Xiaomi Redmi 4
1874,Xiaomi Redmi 4A
1875,Xiaomi Redmi 4X
1876,Xiaomi Redmi 5
1877,Xiaomi Redmi 5 Plus
1878,Xiaomi Redmi 6
1879,Xiaomi Redmi 6A
1880,Xiaomi Redmi 7
1881,Xiaomi Redmi Go
1882,Xiaomi Redmi Note
1883,Xiaomi Redmi Note 2
1884,Xiaomi Redmi Note 3
1885,Xiaomi Redmi Note 3 Pro
1886,Xiaomi Redmi Note 4
1887,Xiaomi Redmi Note 4X
1888,Xiaomi Redmi Note 5
1889,Xiaomi Redmi Note 5 Pro
1890,Xiaomi Redmi Note 6
1891,Xiaomi Redmi Note 6 Pro
1892,Xiaomi Redmi Note 7
1893,YotaPhone 2
1894,Zopo ZP980
1895,Zopo ZP998
1896,ZTE Avid Plus
1897,ZTE Axon
1898,ZTE Axon 7
1899,ZTE Axon 7 Max
1900,ZTE Axon 7 mini
1901,ZTE Axon 9 PRO
1902,ZTE Axon M
1903,ZTE Blade A452
1904,ZTE Blade L3
1905,ZTE Blade S6
1906,ZTE Blade V7
1907,ZTE Blade V7 Lite
1908,ZTE Blade V8
1909,ZTE Blade V9
1910,ZTE Boost Max
1911,ZTE Concord
1912,ZTE Grand X
1913,ZTE Grand X Max
1914,ZTE Lever
1915,ZTE Libra
1916,ZTE Maven
1917,ZTE Nubia Z11
1918,ZTE nubia Z17
1919,ZTE Obsidian
1920,ZTE Open
1921,ZTE Prestige
1922,ZTE Quest N817
1923,ZTE Skate
1924,ZTE Tania
1925,ZTE Tureis
1926,ZTE Warp Elite
1927,ZTE Zmax
1928,ZTE Zmax Pro
1929,ZTE ZMAX z970
